1,severe poverty
2,starvation
3,oppression
4,effects of war
5,self-sacrifice
6,Science fiction
7,Apocalyptic fiction
8,Dystopian fiction
9,Fiction
10,Juvenile works
11,Novels
12,Young adult works
13,Juvenile fiction
14,contensts
15,Young adult fiction
16,Game shows
17,Television programs
18,New York Times bestseller
19,Contests
20,nyt:series_books=2010-08-21
21,Long Now Manual for Civilization
22,Reality television programs
23,Television game shows
24,Survival
25,Interpersonal relations
26,Roman
27,Amerikanisches Englisch
28,Sisters
29,Young women
30,Dystopias
31,Survival skills
32,Blind
33,Books and reading
34,Reading Level-Grade 9
35,Reading Level-Grade 8
36,Reading Level-Grade 11
37,Reading Level-Grade 10
38,Reading Level-Grade 12
39,Survival Stories
40,Action & Adventure
41,Children's fiction
42,"Survival, fiction"
43,"Interpersonal relations, fiction"
44,"Contests, fiction"
45,"Television, fiction"
46,Large type books
47,Future
48,violent
49,life risking
50,bravery.
51,Roman pour jeunes adultes
52,Habiletés de survie
53,Roman d'aventures
54,Concours et compétitions
55,Relations humaines
56,"Romans, nouvelles"
57,Émissions televiseés
58,Spanish language materials
59,Supervivencia
60,Novela juvenil
61,Relaciones humanas
62,Programas de televisión
63,Concursos
64,Fantastische Erzahlung
65,Fantastische Literatur
66,Action and adventure fiction
67,Contests Fiction
68,Fictional Work
69,Interpersonal relations Fiction
70,"Jeux télévisés Romans, nouvelles, etc. pour la jeunesse"
71,Reality television programs Fiction
72,Reality television programs Juvenile fiction
73,Romans
74,Survival Fiction
75,Survival skills Fiction
76,Television game shows Juvenile fiction
77,Television programs Fiction
78,Émissions télévisées
79,Novela
80,Televisión
81,Programas
82,Competencias
83,American fiction
84,Translations into Chinese
85,Chinese language materials
86,"Romans, nouvelles, etc. pour la jeunesse"
87,"Literature and fiction, juvenile"
88,Short stories
89,Fantasy fiction
90,"American literature, study and teaching"
91,Serie:The_Hunger_Games
92,Pictures
93,Poster book
94,Posters
95,"Potter, harry (fictitious character)"
96,series:Luz_e_Escuridão
97,series:Twilight
98,nyt:series_books=2008-03-15
99,School & Education
100,Vampires
101,Juvenile Fiction
102,Children's Books - Young Adult Fiction
103,"Science Fiction, Fantasy, & Magic"
104,Children: Young Adult (Gr. 10-12)
105,Schools
106,Love & Romance
107,Horror & Ghost Stories
108,Juvenile Fiction / Horror & Ghost Stories
109,High schools
110,Children's 12-Up - Fiction - Horror
111,High school students
112,First loves
113,"Vampires, fiction"
114,"Schools, fiction"
115,"Washington (state), fiction"
116,"Love, fiction"
117,cheese
118,Graphic novels
119,Adaptations
120,Vampiros
121,Ficción juvenil
122,Escuelas secundarias
123,Escuelas
124,nyt:hardcover-graphic-books=2010-04-04
125,Edward Cullen (Fictitious character)
126,"Comic books, strips"
127,Bella Swan (Fictitious character)
128,"Twilight (Meyer, Stephenie)"
129,"Motion pictures, juvenile literature"
130,Motion pictures
131,Chinese language
132,Chang pian xiao shuo
133,Simplified characters
134,Russian language materials
135,Interpersonal attraction
136,Upside-down books
137,Teenagers
138,"Comics & graphic novels, romance"
139,"Comics & graphic novels, fantasy"
140,Werewolves
141,Yan qing xiao shuo
142,"Youth, fiction"
143,High school
144,Junge Frau
145,Vampir
146,Verlieben
147,School stories
148,Reading materials
149,Children's books
150,Spanish language
151,Translations from English
152,Portuguese fiction
153,Novela estadounidense
154,Polish language materials
155,Écoles
156,Love
157,Persistence
158,Friendship
159,Élèves du secondaire
160,Écoles secondaires
161,Premier amour
162,Amour
163,Persévérance
164,Amitié
165,"Paranormal, Occult & Supernatural. . ."
166,Romance
167,Paranormal
168,Social Themes
169,Dating & Sex
170,Außenseiterin
171,Gefahr
172,Tochter
173,Weibliche Jugend
174,Wohnungswechsel
175,Supernatural fiction
176,Mishnah
177,American Young adult fiction
178,Roman pour jeunes adultes américain
179,"Comics & graphic novels, fantasy, general"
180,fiction
181,fiction classics
182,contemporary fiction
183,racial segregation
184,mob mentality
185,Southern Gothic
186,southern life
187,racial injustice
188,class
189,courage
190,compassion
191,gender roles
192,laws
193,loss of innocence
194,rape trials
195,domestic fiction
196,legal stories
197,Bildungsromans
198,Race relations
199,Lawyers
200,Girls
201,Prejudices
202,Fathers and daughters
203,Trials (Rape)
204,Great Depression
205,African Americans
206,"Father-daughter relationship,"
207,Toleranz
208,Kind
209,American fiction (fictional works by one author)
210,"Fiction, coming of age"
211,"Fiction, family life"
212,"Fiction, legal"
213,"Fathers and daughters, fiction"
214,"Southern states, fiction"
215,"Lawyers, fiction"
216,"African americans, fiction"
217,Social life and customs
218,Manners and customs
219,Padres e hijas
220,Relaciones raciales
221,Procesos por violación
222,Father-daughter relationship
223,New York Times reviewed
224,American literature
225,"Fiction, family life, general"
226,Muchachas
227,Ficción
228,Relations raciales
229,Procès (Viol)
230,Filles
231,Classics
232,Literary
233,Estados del Sur (Estados Unidos)
234,Families
235,"Fiction, general"
236,Fictional Works [Publication Type]
237,Rape
238,"Married people, fiction"
239,"Fiction, psychological"
240,"Long island (n.y.), fiction"
241,Rich people
242,Mistresses
243,Married women
244,Traffic accidents
245,Revenge
246,American Manuscripts
247,Facsimiles
248,Manuscripts
249,"Antiheroes, l fiction"
250,"Man-woman relationships, fiction"
251,Upper class
252,"Young adult fiction, comics & graphic novels, classic adaptation"
253,"Young adult fiction, social themes, class differences"
254,"Young adult fiction, classics"
255,"Fiction, historical,  New york (n.y.)"
256,"fiction"""
257,YOUNG ADULT FICTION
258,Comics & Graphic Novels
259,Classic Adaptation
260,Class Differences
261,Historical
262,Rich
263,Criticism and interpretation
264,Drama
265,Modern fiction
266,Literature
267,Open Library Staff Picks
268,Wealth
269,Readers
270,Economic conditions
271,Fictional Works Publication Type
272,Rich people -- Fiction
273,Romance fiction
274,Long Island (N.Y.) -- Fiction
275,Psychological fiction
276,Love stories
277,Relaciones hombre-mujer
278,Nouveau riche
279,FICTION / General
280,Moral conditions
281,"Fitzgerald, f. scott (francis scott), 1896-1940"
282,Nineteen twenties
283,English fiction
284,"New york (state), fiction"
285,Wives
286,Relations entre hommes et femmes
287,Classes supérieures
288,Nouveaux riches
289,Riches
290,Maîtresses
291,Vengeance
292,Roman américain
293,Textual Criticism
294,"Great Gatsby (Fitzgerald, F. Scott)"
295,Romance Norte Americano
296,"Fiction, friendship"
297,"Fiction, classics"
298,Adultery
299,Accidents de la route
300,Millionaires
301,American Dream
302,Millionnaires
303,Rêve américain
304,Années vingt (Vingtième siècle)
305,Tránsito
306,Accidentes
307,Mujeres casadas
308,Primer amor
309,Cuentos de amor
310,"Fiction, city life"
311,"Fiction, romance, historical, american"
312,"Fiction, romance, historical, 20th century"
313,"Fiction, historical, world war i"
314,Traffic accidents--Fiction
315,First loves--Fiction
316,Rich people--Fiction
317,Mistresses--Fiction
318,Revenge--Fiction
319,Long Island (N.Y.)--Fiction
320,Novel
321,"American fiction (collections), 20th century"
322,"Fiction, fantasy, romance"
323,"Fiction, action & adventure"
324,"American literature, history and criticism, 19th century"
325,New York (State)
326,First loves -- Fiction
327,Rich people -- New York (State) -- New York -- Fiction
328,New York (State) -- Long Island
329,New York (State) -- New York
330,Fictional works [publication type]
331,Man-woman relationships--new york (state)--long island--fiction
332,Upper class--new york (state)--long island--fiction
333,Ps3511.i9 g7 1995b
334,813/.52
335,"Fiction, romance, general"
336,Man-woman relationships
337,Young Adult Fiction
338,Cancer—Fiction
339,Terminally ill—Fiction
340,Love—Fiction
341,Cancer
342,Terminally ill
343,"Cancer, fiction"
344,Cancer in adolescence
345,Terminally ill children
346,Conduct of life
347,Sick
348,Physicians
349,Youth
350,Death
351,Cancéreux
352,Enfants malades en phase terminale
353,Histoires d'amour
354,Roman pour la jeunesse
355,Chez l'enfant
356,Self-help groups
357,Teenage girls
358,Cancer in children
359,Niños moribundos
360,Niños
361,Cáncer
362,Patients
363,Cancer chez l'adolescent
364,Malades en phase terminale
365,Jeunes femmes
366,Morale pratique
367,Médecins
368,Jeunesse
369,Mort
370,Osteosarcoma
371,Eye cancer
372,Nyt:chapter_books=2012-01-07
373,New york times bestseller
374,Enfermos terminales
375,Ficcion juvenil
376,Adolescent
377,Self-esteem & self-reliance
378,Neoplasms
379,Social themes
380,Amerikanisches englisch
381,Friends
382,Death & dying
383,Sick young adult fiction
384,Interpersonal relations--young adult fiction
385,Cancer--young adult fiction
386,Thyroid neoplasms
387,Fictional works
388,Psychology
389,Attitude to death
390,17.91 literature from and for special groups
391,18.06 anglo-american literature
392,Arkenstone
393,Battle of Five Armies
394,invisibility
395,thrushes
396,eagles
